user_rank,cumulative_pct
0,0.0001096395353586131
1,0.00024668895455687946
2,0.00038373837375514587
3,0.0005207877929534122
4,0.0006578372121516786
5,0.000794886631349945
6,0.0009319360505482114
7,0.0010689854697464778
8,0.0012060348889447441
9,0.0013430843081430105
10,0.0014801337273412768
11,0.0016171831465395432
12,0.0017542325657378096
13,0.0018912819849360761
14,0.0020283314041343423
15,0.002165380823332609
16,0.002302430242530875
17,0.0024394796617291416
18,0.002576529080927408
19,0.0027135785001256743
20,0.002850627919323941
21,0.002987677338522207
22,0.0031247267577204736
23,0.0032617761769187397
24,0.0033988255961170063
25,0.0035358750153152724
26,0.003672924434513539
27,0.003809973853711805
28,0.003947023272910071
29,0.004084072692108338
30,0.0042211221113066045
31,0.004358171530504871
32,0.004495220949703138
33,0.004632270368901403
34,0.00476931978809967
35,0.0049063692072979365
36,0.005043418626496203
37,0.005180468045694469
38,0.005317517464892735
39,0.005454566884091002
40,0.0055916163032892685
41,0.005728665722487535
42,0.005865715141685801
43,0.006002764560884067
44,0.006139813980082334
45,0.0062768633992806005
46,0.006413912818478866
47,0.006550962237677133
48,0.006688011656875399
49,0.006825061076073666
50,0.0069621104952719325
51,0.007099159914470198
52,0.007236209333668465
53,0.007373258752866731
54,0.007510308172064998
55,0.007647357591263264
56,0.00778440701046153
57,0.007921456429659796
58,0.008058505848858062
59,0.008195555268056329
60,0.008332604687254596
61,0.008469654106452862
62,0.008606703525651129
63,0.008743752944849395
64,0.008880802364047662
65,0.009017851783245929
66,0.009154901202444193
67,0.00929195062164246
68,0.009429000040840727
69,0.009566049460038993
70,0.00970309887923726
71,0.009840148298435526
72,0.009977197717633793
73,0.01011424713683206
74,0.010251296556030326
75,0.01038834597522859
76,0.010525395394426857
77,0.010662444813625124
78,0.01079949423282339
79,0.010936543652021657
80,0.011073593071219924
81,0.01121064249041819
82,0.011347691909616457
83,0.011484741328814723
84,0.011621790748012988
85,0.011758840167211255
86,0.011895889586409521
87,0.012032939005607788
88,0.012169988424806055
89,0.012307037844004321
90,0.012444087263202588
91,0.012581136682400854
92,0.01271818610159912
93,0.012855235520797386
94,0.012992284939995652
95,0.013129334359193919
96,0.013266383778392185
97,0.013403433197590452
98,0.013540482616788719
99,0.013677532035986985
100,0.013814581455185252
101,0.013951630874383518
102,0.014088680293581783
103,0.01422572971278005
104,0.014362779131978316
105,0.014499828551176583
106,0.01463687797037485
107,0.014773927389573116
108,0.014910976808771383
109,0.01504802622796965
110,0.015185075647167914
111,0.01532212506636618
112,0.015459174485564447
113,0.015596223904762714
114,0.015733273323960982
115,0.015870322743159245
116,0.01600737216235751
117,0.01614442158155578
118,0.016281471000754045
119,0.01641852041995231
120,0.016555569839150578
121,0.016692619258348845
122,0.01682966867754711
123,0.016966718096745378
124,0.017103767515943644
125,0.01724081693514191
126,0.017377866354340177
127,0.017514915773538444
128,0.01765196519273671
129,0.017789014611934977
130,0.017926064031133244
131,0.01806311345033151
132,0.018200162869529777
133,0.01833721228872804
134,0.018474261707926307
135,0.018611311127124573
136,0.01874836054632284
137,0.018885409965521106
138,0.019022459384719373
139,0.01915950880391764
140,0.019296558223115906
141,0.019433607642314173
142,0.01957065706151244
143,0.019707706480710706
144,0.019844755899908972
145,0.01998180531910724
146,0.020118854738305506
147,0.020255904157503772
148,0.02039295357670204
149,0.020530002995900305
150,0.02066705241509857
151,0.020804101834296835
152,0.0209411512534951
153,0.021078200672693368
154,0.021215250091891635
155,0.0213522995110899
156,0.021489348930288168
157,0.021626398349486434
158,0.0217634477686847
159,0.021900497187882968
160,0.022037546607081234
161,0.0221745960262795
162,0.022311645445477767
163,0.022448694864676034
164,0.0225857442838743
165,0.022722793703072567
166,0.022859843122270834
167,0.0229968925414691
168,0.023133941960667363
169,0.02327099137986563
170,0.023408040799063896
171,0.023545090218262163
172,0.02368213963746043
173,0.023819189056658696
174,0.023956238475856963
175,0.02409328789505523
176,0.024230337314253496
177,0.024367386733451762
178,0.02450443615265003
179,0.024641485571848296
180,0.024778534991046562
181,0.02491558441024483
182,0.025052633829443095
183,0.025189683248641362
184,0.02532673266783963
185,0.025463782087037895
186,0.025600831506236158
187,0.025737880925434425
188,0.02587493034463269
189,0.026011979763830958
190,0.026149029183029224
191,0.02628607860222749
192,0.026423128021425758
193,0.026560177440624024
194,0.02669722685982229
195,0.026834276279020557
196,0.026971325698218824
197,0.02710837511741709
198,0.027245424536615357
199,0.027382473955813624
200,0.02751952337501189
201,0.027656572794210157
202,0.027793622213408423
203,0.027930671632606686
204,0.028067721051804953
205,0.02820477047100322
206,0.028341819890201486
207,0.028478869309399753
208,0.02861591872859802
209,0.028752968147796286
210,0.028890017566994552
211,0.02902706698619282
212,0.029164116405391086
213,0.029301165824589352
214,0.02943821524378762
215,0.029575264662985885
216,0.029712314082184152
217,0.02984936350138242
218,0.029986412920580685
219,0.03012346233977895
220,0.030260511758977218
221,0.03039756117817548
222,0.030534610597373748
223,0.030671660016572014
224,0.03080870943577028
225,0.030945758854968548
226,0.031082808274166814
227,0.03121985769336508
228,0.03135690711256335
229,0.03149395653176162
230,0.03163100595095988
231,0.031768055370158144
232,0.03190510478935641
233,0.03204215420855468
234,0.03217920362775294
235,0.03231625304695121
236,0.032453302466149477
237,0.03259035188534774
238,0.03272740130454601
239,0.032864450723744276
240,0.03300150014294254
241,0.03313854956214081
242,0.033275598981339076
243,0.03341264840053734
244,0.03354969781973561
245,0.033686747238933876
246,0.03382379665813214
247,0.03396084607733041
248,0.034097895496528675
249,0.03423494491572694
250,0.03437199433492521
