video_rank,cumulative_pct
0,0.00027409883839653277
1,0.0005481976767930655
2,0.0008222965151895983
3,0.001096395353586131
4,0.0013704941919826638
5,0.0016445930303791965
6,0.0019186918687757292
7,0.002192790707172262
8,0.002466889545568795
9,0.0027409883839653276
10,0.0030150872223618603
11,0.003289186060758393
12,0.0035632848991549258
13,0.0038373837375514585
14,0.004111482575947991
15,0.004385581414344524
16,0.004659680252741057
17,0.00493377909113759
18,0.005207877929534122
19,0.005481976767930655
20,0.005756075606327188
21,0.006030174444723721
22,0.006304273283120254
23,0.006578372121516786
24,0.006852470959913319
25,0.0071265697983098515
26,0.007400668636706385
27,0.007674767475102917
28,0.00794886631349945
29,0.008222965151895982
30,0.008497063990292516
31,0.008771162828689049
32,0.009045261667085582
33,0.009319360505482113
34,0.009593459343878646
35,0.00986755818227518
36,0.010141657020671713
37,0.010415755859068244
38,0.010689854697464777
39,0.01096395353586131
40,0.011238052374257844
41,0.011512151212654377
42,0.011786250051050908
43,0.012060348889447441
44,0.012334447727843974
45,0.012608546566240508
46,0.012882645404637039
47,0.013156744243033572
48,0.013430843081430105
49,0.013704941919826638
50,0.01397904075822317
51,0.014253139596619703
52,0.014527238435016236
53,0.01480133727341277
54,0.015075436111809302
55,0.015349534950205834
56,0.015623633788602367
57,0.0158977326269989
58,0.01617183146539543
59,0.016445930303791965
60,0.016720029142188498
61,0.01699412798058503
62,0.017268226818981564
63,0.017542325657378097
64,0.01781642449577463
65,0.018090523334171164
66,0.018364622172567693
67,0.018638721010964227
68,0.01891281984936076
69,0.019186918687757293
70,0.019461017526153826
71,0.01973511636455036
72,0.020009215202946892
73,0.020283314041343425
74,0.02055741287973996
75,0.020831511718136488
76,0.02110561055653302
77,0.021379709394929555
78,0.021653808233326088
79,0.02192790707172262
80,0.022202005910119154
81,0.022476104748515687
82,0.02275020358691222
83,0.023024302425308753
84,0.023298401263705283
85,0.023572500102101816
86,0.02384659894049835
87,0.024120697778894883
88,0.024394796617291416
89,0.02466889545568795
90,0.024942994294084482
91,0.025217093132481015
92,0.02549119197087755
93,0.025765290809274078
94,0.02603938964767061
95,0.026313488486067144
96,0.026587587324463677
97,0.02686168616286021
98,0.027135785001256744
99,0.027409883839653277
100,0.02768398267804981
101,0.02795808151644634
102,0.028232180354842873
103,0.028506279193239406
104,0.02878037803163594
105,0.029054476870032472
106,0.029328575708429006
107,0.02960267454682554
108,0.029876773385222072
109,0.030150872223618605
110,0.030424971062015135
111,0.030699069900411668
112,0.0309731687388082
113,0.031247267577204734
114,0.03152136641560127
115,0.0317954652539978
116,0.03206956409239433
117,0.03234366293079086
118,0.032617761769187396
119,0.03289186060758393
120,0.03316595944598046
121,0.033440058284376996
122,0.03371415712277353
123,0.03398825596117006
124,0.034262354799566595
125,0.03453645363796313
126,0.03481055247635966
127,0.035084651314756195
128,0.03535875015315273
129,0.03563284899154926
130,0.035906947829945794
131,0.03618104666834233
132,0.036455145506738854
133,0.03672924434513539
134,0.03700334318353192
135,0.03727744202192845
136,0.037551540860324986
137,0.03782563969872152
138,0.03809973853711805
139,0.038373837375514586
140,0.03864793621391112
141,0.03892203505230765
142,0.039196133890704185
143,0.03947023272910072
144,0.03974433156749725
145,0.040018430405893785
146,0.04029252924429032
147,0.04056662808268685
148,0.040840726921083384
149,0.04111482575947992
150,0.04138892459787644
151,0.041663023436272976
152,0.04193712227466951
153,0.04221122111306604
154,0.042485319951462576
155,0.04275941878985911
156,0.04303351762825564
157,0.043307616466652175
158,0.04358171530504871
159,0.04385581414344524
160,0.044129912981841775
161,0.04440401182023831
162,0.04467811065863484
163,0.044952209497031374
164,0.04522630833542791
165,0.04550040717382444
166,0.045774506012220974
167,0.04604860485061751
168,0.04632270368901403
169,0.046596802527410566
170,0.0468709013658071
171,0.04714500020420363
172,0.047419099042600166
173,0.0476931978809967
174,0.04796729671939323
175,0.048241395557789765
176,0.0485154943961863
177,0.04878959323458283
178,0.049063692072979365
179,0.0493377909113759
180,0.04961188974977243
181,0.049885988588168964
182,0.0501600874265655
183,0.05043418626496203
184,0.050708285103358564
185,0.0509823839417551
186,0.05125648278015162
187,0.051530581618548156
188,0.05180468045694469
189,0.05207877929534122
190,0.052352878133737756
191,0.05262697697213429
192,0.05290107581053082
193,0.053175174648927355
194,0.05344927348732389
195,0.05372337232572042
196,0.053997471164116954
197,0.05427157000251349
198,0.05454566884091002
199,0.054819767679306554
200,0.05509386651770309
201,0.05536796535609962
202,0.05564206419449615
203,0.05591616303289268
204,0.05619026187128921
205,0.056464360709685746
206,0.05673845954808228
207,0.05701255838647881
208,0.057286657224875345
209,0.05756075606327188
210,0.05783485490166841
211,0.058108953740064945
212,0.05838305257846148
213,0.05865715141685801
214,0.058931250255254544
215,0.05920534909365108
216,0.05947944793204761
217,0.059753546770444144
218,0.06002764560884068
219,0.06030174444723721
220,0.06057584328563374
221,0.06084994212403027
222,0.0611240409624268
223,0.061398139800823336
224,0.06167223863921987
225,0.0619463374776164
226,0.062220436316012935
227,0.06249453515440947
228,0.06276863399280601
229,0.06304273283120254
230,0.06331683166959906
231,0.0635909305079956
232,0.06386502934639213
233,0.06413912818478866
234,0.0644132270231852
235,0.06468732586158173
236,0.06496142469997826
237,0.06523552353837479
238,0.06550962237677133
239,0.06578372121516786
240,0.06605782005356439
241,0.06633191889196093
242,0.06660601773035746
243,0.06688011656875399
244,0.06715421540715052
245,0.06742831424554706
246,0.06770241308394359
247,0.06797651192234012
248,0.06825061076073666
249,0.06852470959913319
250,0.06879880843752972
251,0.06907290727592626
