author,total_comments,n_channels,avg_comments_per_channel,category_entropy,num_unique_categories,cat_Gaming,cat_Entertainment,cat_Music,cat_People & Blogs,cat_Howto & Style,cat_Comedy,cat_Film and Animation,cat_Education,cat_Science & Technology,cat_Sports,mean_log_subs,std_log_subs,mean_join_year,std_join_year,mean_delta_videos,mean_activity,mean_delta_subs,mean_delta_views
1,5.0,4.0,1.25,1.0549201679861442,3.0,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,14.794548978015685,2.050351326099163,2013.0,4.8876260995383936,2.9216223354084137,6.527560837577815,54228.694421003325,15329448.984337972
10,3.0,3.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.376434462437917,0.7063770661499973,2008.9999999999998,3.4641016151377544,31.03655913978494,70.06021505376344,94855.85480030722,35900945.47883385
100,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.978661680269907,0.0,2016.0,0.0,1.4294871794871795,3.0961538461538463,20558.543956043955,1073842.738095238
10000,2.0,2.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.15996476020635,2.4828472564429167,2013.0,2.8284271247461903,19.430869742752144,43.539710085749284,72236.03116796944,27825560.113070842
10001,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.759793355371237,0.0,2008.0,0.0,2.2777777777777777,5.111111111111111,749.5895061728395,170637.32463440622
100000,11.0,6.0,1.8333333333333333,1.2945451658448959,4.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,13.855408262230448,2.211832499918337,2011.8181818181818,4.084115571332427,1.4157959944531588,3.0795963851102637,12126.677289521167,3318250.3922871104
100001,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.005831808336863,0.0,2012.0,0.0,0.3076923076923077,0.6923076923076923,2485.6741071428573,674614.2097975811
100002,6.0,3.0,2.0,0.45056120886630463,2.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,12.328807184958857,1.6909427763298857,2015.5,1.0801234497346435,1.5065939652761893,3.4597860901395565,2338.927214511577,416303.86208601703
100003,5.0,2.0,2.5,1.0549201679861442,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.2,0.0,12.228461774878811,3.1690286353491364,2016.4,2.806243040080456,1.6120754716981134,3.5299685534591196,10224.60960267687,3461361.016295804
100004,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.711598990684092,0.0,2009.0,0.0,1.270967741935484,2.7548387096774194,382.77103494623555,460287.171332565
100005,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.073607134447293,0.0,2009.0,0.0,0.12903225806451613,0.2645161290322581,46704.67419354839,40993305.51470815
100006,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.874285408908944,0.0,2011.0,0.0,5.203488372093023,11.406976744186046,209.99086378737542,92652.4920533984
100008,4.0,3.0,1.3333333333333333,0.5623351446188083,2.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,14.582247701472431,3.1077221436095392,2010.5,5.744562646538029,0.14463141025641027,0.2988782051282051,63144.294640174274,7127726.322387487
100009,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.341239282272525,0.0,2011.0,0.0,0.14838709677419354,0.3096774193548387,58034.680645161294,19010138.410013437
100010,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.584865188242242,0.0,2006.0,0.0,1.3397435897435896,2.9935897435897436,1224.6324261675823,647118.2019230769
100011,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14413728263389,0.0,2014.0,0.0,52.85806451612903,114.39354838709677,175636.42269585253,115934034.07569605
100012,9.0,9.0,1.0,0.8486855577264172,3.0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,12.884864893872344,2.027407481759732,2011.5555555555554,4.18661889569349,4.882450222741615,10.914583668845035,4588.8001073334335,1158355.9976550841
