author,total_comments
10141056,594
10066698,594
10037037,593
10092043,590
10084923,590
10064491,589
10066730,588
10049559,588
10080760,588
10065399,587
1004043,587
10080927,586
1005066,585
10019056,584
10129344,583
10088790,583
1006025,582
10108479,582
10095982,582
10077027,581
10075648,581
10025988,580
10010998,580
10106082,580
1011611,578
10035342,578
10084910,577
10079781,576
10047537,571
1009598,571
10060211,571
10137408,570
10073812,570
1003916,570
10080994,570
10024878,569
10046593,569
10074268,569
10000182,569
10002106,569
10076664,567
1000753,566
10039722,566
1001997,566
10083305,566
1005228,566
10069621,566
10019678,564
10075407,562
10043367,561
1011731,560
10060992,560
10018581,560
10002976,559
10124943,559
10142345,558
10091908,557
10010972,556
10023800,556
10120463,556
10094719,555
10043980,554
10086928,553
10098570,553
10037835,552
10073013,552
100603,552
10126244,551
10127349,550
10038994,549
10024735,549
10122600,549
1006288,548
10028840,547
10139811,547
10135992,547
1007963,547
10049563,546
10030598,544
10079660,544
1010620,544
10088970,544
10001577,543
10120482,541
10000025,541
10041049,541
10092059,541
10111912,540
1001600,540
10147037,539
10047096,539
10095233,536
10140093,534
10042115,534
10135416,534
1006104,533
10092833,530
1000703,530
10087899,530
10019739,530
10043082,529
10101110,529
10100455,528
10049179,527
10084035,527
10051114,526
10028690,524
10146264,524
10084850,524
10006286,523
10000485,523
10058360,523
1001949,522
10034166,522
10105730,521
10118297,520
10097824,519
10062986,519
10118444,516
10020815,513
10077752,512
10063786,512
10037808,512
10129663,511
1006101,511
10143658,511
1012903,511
10078878,510
10068085,510
10100266,508
10078705,508
10031963,506
10051043,503
10059434,503
1007741,503
10141386,503
10071542,502
10123085,502
10061861,501
10120352,501
1003152,501
101118,500
10092318,500
10016179,498
10102922,498
10082772,498
10088645,497
10004424,497
10025519,496
10095192,495
10130031,495
10110954,494
10006174,493
10116567,493
10105623,491
10021360,491
10029281,491
10122191,488
10013686,488
10142079,487
10064246,487
1005477,487
1007778,485
10053367,485
10127531,484
10013280,484
10091516,484
10054912,484
10065282,484
10121308,483
1007994,481
10135019,481
1010071,481
10015804,480
10123852,480
10122453,480
10068341,479
10126541,479
10040692,478
10015838,477
10007067,477
10105500,477
10068388,476
10123384,475
10124521,475
10010064,475
1011931,474
10097434,473
10114416,473
10068914,472
101284,472
10012738,472
10095618,472
1009005,472
10025224,471
1007470,469
10104691,468
10015429,468
10029413,465
10047671,465
1011927,465
10053615,465
10026187,464
10127765,464
10120043,464
10113866,463
10103945,463
10085196,461
10091802,460
10053343,460
10111047,459
10081157,459
10100836,459
1000082,459
10071431,459
10115002,459
10069819,458
10087390,458
10024853,458
10131751,458
10079497,458
10146600,457
10061052,456
10043600,455
10043593,455
10132402,455
1007845,455
1002651,454
1003580,453
10113371,452
1006229,451
10034655,451
10116122,450
10058951,450
10121358,449
10012037,449
10148772,448
10024117,448
10045859,448
10018299,447
10037766,444
10019643,443
10057254,442
10083990,442
10063065,442
10145066,441
10049379,441
10102224,441
10100872,441
10031953,440
10002103,440
10138041,440
10009469,440
10019450,439
10012010,438
10060172,438
10089062,437
10026893,436
10135128,435
10128260,435
10105540,435
10084843,435
10085495,434
10083070,433
10109516,433
1003256,433
10019249,433
10127961,433
10053603,431
10080976,430
10014793,430
10060343,430
10087837,429
10034440,429
10081325,428
1010400,428
10126514,427
10040415,427
10008278,427
10013575,426
10032283,425
100744,424
10010816,424
10068599,424
10057185,424
10022258,423
10006261,423
10112948,423
10058205,422
10143915,421
10037035,421
10123310,420
10060808,420
10044417,419
10109656,419
1012780,419
10101216,418
10044016,418
1009050,417
10020446,417
10007493,417
10112540,416
100389,416
10036700,416
10113350,416
10034027,416
10051807,416
10063144,415
10109706,414
10016213,414
10040247,413
10061059,413
10040903,413
10103055,413
10061317,412
10054396,412
10029813,412
10076689,412
10133102,412
10143485,411
10129590,411
10101656,410
1009341,410
10139440,409
1000230,409
10121196,409
1000040,408
10084099,408
10010393,407
10121635,407
10071548,407
1013922,407
